"","Point_code","blue","green","red","vnir","NDAVI","ind24","NDWI","WAVI","DII_blue_green","DII_blue_red","DII_green_red","Year","Accuracy.m.","UTM.Zone","UTM.Easting","UTM.Northing","TOT","T_DR","TSG","Tt","Sf","Hw","TMA"
"68","BB22_L",0.031942341,0.04565395,0.025700675,0.012467309,-0.438531548,-0.570989728,0.570989728,-0.520070672,0.353141308,-0.311220765,-0.591262758,2023,0.7404109,"17 R",578163,2846508,"100","100","100","0","100","0",0
"69","BB22_R",0.033155911,0.048664957,0.026419088,0.013167624,-0.431493104,-0.574087858,0.574087858,-0.502117872,0.311863333,-0.297521055,-0.546184301,2023,0.72158045,"17 R",578177,2846491,"76.2","76.2","66","59","7","0",10.2
"70","BB22_S",0.031942341,0.04565395,0.025700675,0.012467309,-0.438531548,-0.570989728,0.570989728,-0.520070672,0.353141308,-0.311220765,-0.591262758,2023,0.7057778,"17 R",578160,2846503,"51.7","51.7","39.7","13.5","0.2","26",12
"71","BB23_C",0.026707992,0.037375659,0.021350175,0.012138846,-0.37504071,-0.509685218,0.509685218,-0.412582755,0.420282125,-0.331510723,-0.664930463,2023,0.9636619,"17 R",575493,2844163,"78.3","78.3","77","0","77","0",1.3
"72","BB23_E",0.024265682,0.029315626,0.017752128,0.013888043,-0.271995425,-0.357089639,0.357089639,-0.183188856,0.623176932,-0.269503206,-0.782041907,2023,0.7367048,"17 R",575481,2844175,"100","100","100","0","100","0",0
"73","BB23_L",0.021961449,0.03314653,0.019429117,0.012836561,-0.262224436,-0.441683441,0.441683441,-0.30648157,0.37232247,-0.446511716,-0.720748484,2023,0.9140688,"17 R",575481,2844151,"100","100","64.3","0","64.3","0",35.7
"74","BB23_R",0.027255761,0.035664793,0.022551939,0.012375219,-0.375477523,-0.484795362,0.484795362,-0.437054753,0.498222172,-0.358062953,-0.749109805,2023,0.81407857,"17 R",575503,2844173,"100","100","99.7","0","99.7","0",0.3
"75","BB23_S",0.024005936,0.034607839,0.022431266,0.014008961,-0.262975216,-0.423698783,0.423698783,-0.34668988,0.408265084,-0.480436116,-0.775536776,2023,0.6950376,"17 R",575504,2844151,"100","100","99","0","99","0",1
"76","BB24_C",0.033556424,0.04565648,0.020766404,0.025690891,-0.132757634,-0.279836357,0.279836357,0.159000456,0.402369022,-0.079524674,-0.445908964,2023,0.55838954,"17 R",583470,2843232,"43.75","43.75","43.65","15.95","0","27.7",0.1
"77","BB24_E",0.03289216,0.043186195,0.019582486,0.031813994,-0.016662497,-0.151628971,0.151628971,0.356975079,0.450799972,-0.04929344,-0.461524665,2023,0.5381793,"17 R",583477,2843246,"69.25","69.25","69.25","0","69.25","0",0
"78","BB24_L",0.039404541,0.049813006,0.018749643,0.01829203,-0.365923136,-0.462828845,0.462828845,-0.018530998,0.455840856,0.168538973,-0.289147675,2023,0.53106934,"17 R",583456,2843240,"10.75","10.75","10.75","0","10.75","0",0
