"","Point_code","blue","green","red","vnir","NDAVI","ind24","NDWI","WAVI","DII_blue_green","DII_blue_red","DII_green_red","Year","Accuracy.m.","UTM.Zone","UTM.Easting","UTM.Northing","TOT","T_DR","TSG","Tt","Sf","Hw","TMA"
"423","TPBB74_3",0.063523456,0.082579441,0.019469101,0.004846969,-0.858214438,-0.88911891,0.88911891,-0.902004242,0.311562955,0.613849938,0.190673053,2024,0.77380705,"17 R",570926,2817027,"9","9","3.1","3.1","0","0",5.9
"424","TPBB74_4",0.06311661,0.082839936,0.019346442,0.002617212,-0.920369387,-0.938747942,0.938747942,-1.142516851,0.301263422,0.612832248,0.198130175,2024,0.8735974,"17 R",570910,2817024,"14.15","13.4","0.8","0.8","0","0",12.6
"425","TPBB74_5",0.061767612,0.084149912,0.019344302,0.003553827,-0.891189575,-0.918958366,0.918958366,-1.034395099,0.260358512,0.591322064,0.213895202,2024,0.8585089,"17 R",570909,2817031,"28.65","28.4","23.5","23.5","0","0",4.9
"431","TPBB77_1",0.082086831,0.108943269,0.02132469,0.002838867,-0.933144689,-0.949207127,0.949207127,-1.147543669,0.227106661,0.792325974,0.405691236,2023,0.71609,"17 R",575465,2812125,"0","0","0","0","0","0",0
"432","TPBB77_2",0.084081046,0.110111065,0.020605035,0.003539643,-0.919205308,-0.937710166,0.937710166,-1.060195923,0.237994373,0.845702827,0.439751983,2023,0.70695484,"17 R",575460,2812147,"0.5","0.5","0.5","0.5","0","0",0
"433","TPBB77_3",0.082752347,0.108164378,0.020725256,0.003539813,-0.917957485,-0.936621666,0.936621666,-1.062356949,0.244007766,0.824796438,0.417949408,2023,1.0036609,"17 R",575476,2812142,"4.5","4.25","4.25","4.25","0","0",0
"434","TPBB77_4",0.084347568,0.110241167,0.021683779,0.003656767,-0.916895747,-0.935788691,0.935788691,-1.067085028,0.239706591,0.805206537,0.406152844,2023,0.8940706,"17 R",575464,2812137,"15.65","15.65","15.65","15.65","0","0",0
"435","TPBB77_5",0.084078804,0.113872439,0.023240337,0.003773299,-0.914098859,-0.935853183,0.935853183,-1.080956221,0.196648851,0.742699742,0.391311228,2023,1.3911884,"17 R",575448,2812134,"0.7","0.7","0.7","0.7","0","0",0
"455","TPBB84_1",0.043067932,0.064323112,0.02444792,0.003563491,-0.847163558,-0.895016372,0.895016372,-1.118353009,0.230267376,0.030382264,-0.214374185,2024,0.9216442,"17 R",568371,2816969,"51.25","51.25","2.2","0.5","0","1.7",49.05
"456","TPBB84_2",0.042112511,0.06432002,0.023963017,0.003796167,-0.834620893,-0.88853848,0.88853848,-1.089739323,0.207892686,0.025089303,-0.200768009,2024,0.91633546,"17 R",568360,2816985,"8.1","8.1","0.1","0.1","0","0",8
"457","TPBB84_3",0.044959381,0.068014741,0.026370995,0.003795131,-0.844316721,-0.89430058,0.89430058,-1.122576952,0.204600826,0.008576373,-0.210177198,2024,0.98072225,"17 R",568340,2816972,"4.4","4.4","0","0","0","0",4.4
"458","TPBB84_4",0.043197554,0.066696249,0.024806108,0.003561057,-0.84768337,-0.898628116,0.898628116,-1.123396635,0.188705727,0.020942733,-0.188057825,2024,0.6886435,"17 R",568356,2816972,"61.85","61.85","0","0","0","0",61.85
"459","TPBB84_5",0.045371316,0.069337241,0.027216978,0.003679923,-0.849955976,-0.899203897,0.899203897,-1.142690063,0.190032229,-0.009320015,-0.212441042,2024,0.81088454,"17 R",568352,2816954,"8.65","8.65","0","0","0","0",8.65
"460","WQ_BB37_1",0.096979842,0.121226713,0.0380494,0.002840529,-0.943087161,-0.954209864,0.954209864,-1.291596889,0.26241225,0.463634819,0.117881961,2024,0.8404476,"17 R",576600,2822753,"100","100","100","100","0","0",0
"461","WQ_BB37_10",0.091824688,0.113086201,0.034352098,0.003771524,-0.921094716,-0.935451031,0.935451031,-1.203213573,0.293298423,0.496475518,0.118041821,2024,0.80046296,"17 R",576582,2822764,"100","100","100","100","0","0",0
"462","WQ_BB37_100",0.088530168,0.110893808,0.036623187,0.004708759,-0.898995876,-0.918535411,0.918535411,-1.158223748,0.28084299,0.405162632,0.054831214,2024,0.94175833,"17 R",576577,2822482,"100","100","100","100","0","0",0
"463","WQ_BB37_11",0.099220529,0.125482619,0.037452564,0.004821669,-0.907313228,-0.925993681,0.925993681,-1.157829165,0.242809057,0.500003994,0.163162529,2024,0.8971952,"17 R",576590,2822755,"98","98","98","98","0","0",0
"464","WQ_BB37_12",0.093147129,0.115801118,0.035306364,0.004354812,-0.910672307,-0.927514017,0.927514017,-1.170598865,0.278414339,0.487330675,0.123090461,2024,0.79675126,"17 R",576587,2822746,"100","100","100","100","0","0",0
"465","WQ_BB37_13",0.1029137,0.131925985,0.039360523,0.003890196,-0.927152514,-0.942713797,0.942713797,-1.230164289,0.217758179,0.494035929,0.179370165,2024,0.7245007,"17 R",576600,2822738,"99","99","99","98.5","0","0",0
"466","WQ_BB37_14",0.090504095,0.115542941,0.03554504,0.003772101,-0.919977665,-0.936770737,0.936770737,-1.212178826,0.252374768,0.452780902,0.116266459,2024,0.74413186,"17 R",576589,2822736,"98","98","98","98","0","0",0
"467","WQ_BB37_15",0.090504095,0.115542941,0.03554504,0.003772101,-0.919977665,-0.936770737,0.936770737,-1.212178826,0.252374768,0.452780902,0.116266459,2024,0.70028365,"17 R",576586,2822733,"100","100","100","100","0","0",0
"468","WQ_BB37_16",0.091030955,0.116058759,0.035782419,0.003887927,-0.918078959,-0.935172379,0.935172379,-1.205982327,0.252699882,0.452890396,0.116184227,2024,0.74988604,"17 R",576576,2822739,"100","100","100","100","0","0",0
"469","WQ_BB37_17",0.095786549,0.120191365,0.0368549,0.004354057,-0.913041115,-0.930080831,0.930080831,-1.183025956,0.260582447,0.478545189,0.131044641,2024,0.76121086,"17 R",576571,2822745,"100","100","100","100","0","0",0
"470","WQ_BB37_18",0.096312635,0.122900449,0.037211426,0.003420635,-0.931404352,-0.945842206,0.945842206,-1.247443199,0.238640979,0.475785196,0.146772444,2024,0.8567916,"17 R",576565,2822742,"100","100","100","100","0","0",0
"471","WQ_BB37_19",0.091160208,0.117736682,0.034946408,0.003770201,-0.920569181,-0.937942564,0.937942564,-1.207861662,0.23646161,0.474536806,0.146651313,2024,0.86420345,"17 R",576567,2822754,"98","98","98","98","0","0",0
"472","WQ_BB37_2",0.099618509,0.121485069,0.03816881,0.003190495,-0.937933564,-0.94881922,0.94881922,-1.268577218,0.28663829,0.487798691,0.117875241,2024,0.8150754,"17 R",576603,2822744,"100","100","100","100","0","0",0
"473","WQ_BB37_20",0.087986775,0.11373131,0.033158399,0.004120323,-0.910531878,-0.930076122,0.930076122,-1.168417573,0.243606374,0.484041303,0.147835419,2024,0.9522146,"17 R",576573,2822771,"99","99","96","95.5","0","0",3
"474","WQ_BB37_21",0.089970715,0.115152933,0.031846244,0.003770381,-0.919557571,-0.936591387,0.936591387,-1.182419538,0.250623107,0.540885746,0.1877774,2024,0.8267276,"17 R",576572,2822783,"100","100","96","96","0","0",4
"475","WQ_BB37_22",0.095392503,0.119417772,0.033756439,0.003888478,-0.921667218,-0.936929762,0.936929762,-1.190119267,0.264403224,0.549560606,0.184441507,2024,0.9551879,"17 R",576591,2822786,"100","100","100","100","0","0",0
"476","WQ_BB37_23",0.094866306,0.118902318,0.034592092,0.004355552,-0.912205815,-0.929326177,0.929326177,-1.164507151,0.264192998,0.523106098,0.163448632,2024,0.9153444,"17 R",576604,2822783,"100","100","100","99.75","0","0",0
"477","WQ_BB37_24",0.091824688,0.113086201,0.034352098,0.003771524,-0.921094716,-0.935451031,0.935451031,-1.203213573,0.293298423,0.496475518,0.118041821,2024,0.7070918,"17 R",576588,2822765,"100","100","95","95","0","0",5
"478","WQ_BB37_25",0.087143861,0.109695762,0.029196292,0.003052804,-0.932307839,-0.945847571,0.945847571,-1.216010213,0.278421909,0.583295524,0.198440582,2024,0.8771844,"17 R",576310,2822691,"100","100","100","100","0","0",0
"479","WQ_BB37_26",0.089658886,0.114223436,0.028480476,0.00281978,-0.939017713,-0.95181644,0.95181644,-1.229735851,0.257120818,0.632986367,0.255804986,2024,0.9447947,"17 R",576314,2822684,"100","100","51","50.75","0","0",49
"480","WQ_BB37_27",0.087143861,0.109695762,0.029196292,0.003052804,-0.932307839,-0.945847571,0.945847571,-1.216010213,0.278421909,0.583295524,0.198440582,2024,0.8204125,"17 R",576315,2822694,"100","100","58","58","0","0",42
"481","WQ_BB37_28",0.084626876,0.105681598,0.027047522,0.003752237,-0.9150877,-0.931424558,0.931424558,-1.134519577,0.294972241,0.619395554,0.213264406,2024,0.92802966,"17 R",576319,2822705,"100","100","51","51.25","0","0",49
"482","WQ_BB37_29",0.088068001,0.112282105,0.028956266,0.003518274,-0.923170269,-0.939235508,0.939235508,-1.174981594,0.260304451,0.600907624,0.227370799,2024,1.0125815,"17 R",576309,2822703,"100","100","42","42","0","0",58
"483","WQ_BB37_3",0.09394519,0.116837598,0.037573762,0.00330765,-0.931978345,-0.944939137,0.944939137,-1.257274747,0.275984377,0.442606211,0.089578152,2024,0.8015397,"17 R",576610,2822760,"100","100","100","100","0","0",0
"484","WQ_BB37_30",0.088068001,0.112282105,0.028956266,0.003518274,-0.923170269,-0.939235508,0.939235508,-1.174981594,0.260304451,0.600907624,0.227370799,2024,1.1804861,"17 R",576306,2822701,"100","100","60","59.85","0","0",40
"485","WQ_BB37_31",0.088595867,0.112798654,0.029910177,0.004217312,-0.909122586,-0.92791903,0.92791903,-1.129274368,0.260634273,0.579151332,0.209869429,2024,0.87719566,"17 R",576296,2822700,"100","100","58","57.5","0","0",43
"486","WQ_BB37_32",0.088595867,0.112798654,0.029910177,0.004217312,-0.909122586,-0.92791903,0.92791903,-1.129274368,0.260634273,0.579151332,0.209869429,2024,0.9452668,"17 R",576294,2822692,"100","100","59","58.5","0","0",42
"487","WQ_BB37_33",0.09190312,0.115901791,0.030984327,0.003401298,-0.928622425,-0.942980528,0.942980528,-1.203251243,0.263900101,0.585612774,0.212960467,2024,0.8426294,"17 R",576295,2822681,"100","100","51","51.25","0","0",49
"488","WQ_BB37_34",0.090578832,0.115254506,0.031460498,0.002934104,-0.937247097,-0.950348794,0.950348794,-1.244078636,0.256274849,0.558049202,0.196965232,2024,0.816543,"17 R",576287,2822681,"100","100","71","70.85","0","0",29
"489","WQ_BB37_35",0.0933531,0.115899727,0.032294516,0.003866194,-0.920464456,-0.9354375,0.9354375,-1.179249048,0.279576093,0.565830886,0.184714675,2024,0.81882864,"17 R",576279,2822685,"97","97","67","67.4","0","0",30
"490","WQ_BB37_36",0.090049267,0.109821923,0.030147774,0.00409996,-0.912905097,-0.92802155,0.92802155,-1.14085567,0.309804559,0.588653207,0.177732393,2024,0.97693515,"17 R",576288,2822692,"100","100","53","53","0","0",47
"491","WQ_BB37_37",0.090049267,0.109821923,0.030147774,0.00409996,-0.912905097,-0.92802155,0.92802155,-1.14085567,0.309804559,0.588653207,0.177732393,2024,0.82849556,"17 R",576280,2822692,"98","98","63","63.25","0","0",35
"492","WQ_BB37_38",0.086475238,0.104771346,0.028476713,0.003633362,-0.919355929,-0.932966709,0.932966709,-1.160539985,0.327219546,0.596945167,0.169518858,2024,0.8047013,"17 R",576287,2822706,"100","100","62","61.5","0","0",39
"493","WQ_BB37_39",0.086211905,0.10801021,0.027880706,0.00386713,-0.914139211,-0.930868387,0.930868387,-1.134577036,0.28671822,0.611993074,0.214380786,2024,1.052484,"17 R",576296,2822716,"96","96","66","66","0","0",30
"494","WQ_BB37_4",0.094338514,0.121226236,0.036738005,0.003423091,-0.929970622,-0.945076466,0.945076466,-1.244297981,0.234803468,0.466030568,0.141783223,2024,0.81891876,"17 R",576607,2822773,"97","97","97","97","0","0",0
"495","WQ_BB37_40",0.086211905,0.10801021,0.027880706,0.00386713,-0.914139211,-0.930868387,0.930868387,-1.134577036,0.28671822,0.611993074,0.214380786,2024,0.8257714,"17 R",576294,2822719,"100","100","57","57.25","0","0",43
"496","WQ_BB37_41",0.084222689,0.105418891,0.028237723,0.003866374,-0.912216723,-0.929242551,0.929242551,-1.13870275,0.293246388,0.577762485,0.181424618,2024,0.90187156,"17 R",576288,2822714,"100","100","74","74.25","0","0",26
"497","WQ_BB37_42",0.084222689,0.105418891,0.028237723,0.003866374,-0.912216723,-0.929242551,0.929242551,-1.13870275,0.293246388,0.577762485,0.181424618,2024,0.7938019,"17 R",576284,2822712,"96","96","75","75","0","0",21
"498","WQ_BB37_43",0.087002873,0.110079408,0.027640076,0.002932954,-0.934776723,-0.948094964,0.948094964,-1.212201834,0.272508055,0.628542542,0.239264995,2024,0.8390546,"17 R",576278,2822705,"100","100","69","68.75","0","0",31
"499","WQ_BB37_44",0.087002873,0.110079408,0.027640076,0.002932954,-0.934776723,-0.948094964,0.948094964,-1.212201834,0.272508055,0.628542542,0.239264995,2024,0.83607376,"17 R",576276,2822703,"99","99","54","54.25","0","0",44
"500","WQ_BB37_45",0.084884152,0.110079668,0.0294307,0.002933148,-0.933198869,-0.948091745,0.948091745,-1.228108883,0.247851416,0.550180614,0.19648391,2024,0.8530307,"17 R",576271,2822697,"100","100","59","59.25","0","0",41
"501","WQ_BB37_46",0.091500059,0.112666115,0.030503619,0.003398827,-0.928369522,-0.941432297,0.941432297,-1.199240565,0.294334918,0.594595909,0.195303172,2024,0.8394794,"17 R",576267,2822691,"100","100","61","60.75","0","0",39
"502","WQ_BB37_47",0.090049267,0.109821923,0.030147774,0.00409996,-0.912905097,-0.92802155,0.92802155,-1.14085567,0.309804559,0.588653207,0.177732393,2024,0.88822377,"17 R",576286,2822697,"100","100","34","33.75","0","0",66
"503","WQ_BB37_48",0.085550152,0.106974564,0.028597144,0.004333716,-0.903570771,-0.9221313,0.9221313,-1.105198622,0.290864497,0.582579017,0.18745327,2024,1.0140623,"17 R",576296,2822709,"100","100","48","47.5","0","0",53
"504","WQ_BB37_49",0.082898796,0.105549268,0.028477246,0.003750336,-0.913436294,-0.931375146,0.931375146,-1.150888801,0.275882125,0.554691613,0.176903635,2024,0.8560338,"17 R",576297,2822721,"100","100","64","64.25","0","0",36
"505","WQ_BB37_5",0.099220529,0.125482619,0.037452564,0.004821669,-0.907313228,-0.925993681,0.925993681,-1.157829165,0.242809057,0.500003994,0.163162529,2024,0.8569898,"17 R",576599,2822754,"100","100","100","100","0","0",0
"506","WQ_BB37_50",0.084223747,0.105678543,0.027641423,0.003050507,-0.930093765,-0.943887889,0.943887889,-1.201826453,0.290232807,0.596036613,0.198431671,2024,0.95928895,"17 R",576292,2822731,"97","97","48","48.25","0","0",48
"507","WQ_BB37_51",0.08581204,0.107749894,0.027401863,0.003866181,-0.913776577,-0.930723548,0.930723548,-1.129060745,0.285037547,0.622166693,0.223775297,2024,0.8990349,"17 R",576288,2822721,"100","100","95.5","95.5","0","0",4.5
"508","WQ_BB37_52",0.087399565,0.109690905,0.02847537,0.003749014,-0.917738378,-0.933903098,0.933903098,-1.150977254,0.281406343,0.607617736,0.215437144,2024,0.9871712,"17 R",576279,2822711,"100","100","100","100","0","0",0
"509","WQ_BB37_53",0.077198625,0.096994013,0.025614768,0.003052569,-0.923924625,-0.938977063,0.938977063,-1.180552602,0.308623433,0.574093163,0.164578408,2024,0.7141065,"17 R",576349,2822830,"100","100","100","100","0","0",0
"510","WQ_BB37_54",0.077464744,0.094917089,0.023345919,0.003285976,-0.918614328,-0.933077931,0.933077931,-1.129845023,0.338691235,0.656889856,0.206146717,2024,0.75565916,"17 R",576340,2822818,"98.25","98.25","95.25","95.25","0","0",3
"511","WQ_BB37_55",0.07918635,0.098419458,0.025971072,0.003167849,-0.923067689,-0.937632978,0.937632978,-1.173853874,0.316099197,0.587695837,0.169752285,2024,0.7706451,"17 R",576328,2822813,"100","100","100","100","0","0",0
"512","WQ_BB37_56",0.0750672,0.095043369,0.026208784,0.003167089,-0.919035792,-0.935504019,0.935504019,-1.17656219,0.305616528,0.52647984,0.128637001,2024,0.69165283,"17 R",576317,2822811,"100","100","100","100","0","0",0
"513","WQ_BB37_57",0.07918635,0.098419458,0.025971072,0.003167849,-0.923067689,-0.937632978,0.937632978,-1.173853874,0.316099197,0.587695837,0.169752285,2024,0.66644484,"17 R",576324,2822819,"100","100","100","100","0","0",0
"514","WQ_BB37_58",0.077727683,0.098031059,0.025255442,0.003051808,-0.92444104,-0.939617693,0.939617693,-1.176569581,0.302370816,0.593010604,0.184842393,2024,0.76848227,"17 R",576332,2822830,"100","100","89.5","89.5","0","0",10.5
"515","WQ_BB37_59",0.07692986,0.09400592,0.024299501,0.003751052,-0.907015145,-0.923257589,0.923257589,-1.098825932,0.343628138,0.615707815,0.169214889,2024,0.7480344,"17 R",576331,2822841,"100","100","94.75","94.75","0","0",5.25
"516","WQ_BB37_6",0.099749431,0.123677917,0.037572488,0.00353987,-0.931457162,-0.944349468,0.944349468,-1.24169302,0.265945584,0.502585053,0.146497086,2024,0.7643507,"17 R",576601,2822768,"100","100","100","99.9","0","0",0
"517","WQ_BB37_60",0.07692986,0.09400592,0.024299501,0.003751052,-0.907015145,-0.923257589,0.923257589,-1.098825932,0.343628138,0.615707815,0.169214889,2024,0.8314946,"17 R",576334,2822849,"100","100","85.75","85.75","0","0",14.25
"518","WQ_BB37_61",0.076266229,0.093616575,0.024419211,0.003168223,-0.920230508,-0.934530556,0.934530556,-1.155471087,0.340069652,0.602839112,0.16171509,2024,0.73560417,"17 R",576330,2822840,"100","100","84.75","84.75","0","0",15.25
"519","WQ_BB37_62",0.076396935,0.091536537,0.024059804,0.003400676,-0.914767444,-0.928359449,0.928359449,-1.128483176,0.36942184,0.617238164,0.149351925,2024,0.79176295,"17 R",576327,2822833,"100","100","98","98","0","0",2
"520","WQ_BB37_63",0.07918635,0.098419458,0.025971072,0.003167849,-0.923067689,-0.937632978,0.937632978,-1.173853874,0.316099197,0.587695837,0.169752285,2024,0.7565906,"17 R",576326,2822818,"100","100","93.75","93.75","0","0",6.25
"521","WQ_BB37_64",0.074935913,0.094135202,0.026090199,0.003400869,-0.913173139,-0.930264354,0.930264354,-1.154044151,0.315676719,0.528609514,0.122126654,2024,0.81526786,"17 R",576321,2822822,"100","100","69","69","0","0",31
"522","WQ_BB37_65",0.076395333,0.094783366,0.025253249,0.003749924,-0.90642184,-0.923885107,0.923885107,-1.112119317,0.326524198,0.575795054,0.151211143,2024,0.6785771,"17 R",576316,2822829,"100","100","81","81","0","0",19
"523","WQ_BB37_66",0.078653902,0.094654106,0.024417831,0.003400483,-0.917116344,-0.930640996,0.930640996,-1.133283019,0.357338518,0.633714497,0.172775418,2024,0.7781969,"17 R",576323,2822841,"100","100","81.25","81.25","0","0",18.75
"524","WQ_BB37_67",0.078653902,0.094654106,0.024417831,0.003400483,-0.917116344,-0.930640996,0.930640996,-1.133283019,0.357338518,0.633714497,0.172775418,2024,0.7886326,"17 R",576322,2822849,"100","100","91.5","91.5","0","0",8.5
"525","WQ_BB37_68",0.076128617,0.094393156,0.023819543,0.004099342,-0.897807658,-0.916758299,0.916758299,-1.059508681,0.328101486,0.622306883,0.186922684,2024,0.7212842,"17 R",576316,2822843,"98.5","98.5","92.75","92.75","0","0",5.75
"526","WQ_BB37_69",0.075198017,0.091144823,0.023102568,0.003282923,-0.916338325,-0.93046701,0.93046701,-1.126735449,0.358879477,0.636157274,0.172734454,2024,0.6999177,"17 R",576313,2822851,"100","100","92.25","92.25","0","0",7.75
"527","WQ_BB37_7",0.096449524,0.120580129,0.036856424,0.003888862,-0.922485054,-0.937512755,0.937512755,-1.213670254,0.263507515,0.485407352,0.134245783,2024,0.87262815,"17 R",576595,2822764,"100","100","100","100","0","0",0
"528","WQ_BB37_70",0.074664272,0.092832893,0.024534781,0.004214994,-0.893127978,-0.913135827,0.913135827,-1.060171127,0.329181999,0.577570736,0.15009056,2024,0.80593085,"17 R",576305,2822854,"100","100","97.25","97.25","0","0",2.75
"529","WQ_BB37_71",0.077717692,0.092571847,0.023458712,0.003281403,-0.918976784,-0.931532741,0.931532741,-1.131856084,0.372727185,0.656026065,0.177843034,2024,0.660528,"17 R",576298,2822851,"100","100","86","86","0","0",14
"530","WQ_BB37_72",0.076124869,0.098934367,0.024773093,0.003748216,-0.906145692,-0.926994145,0.926994145,-1.105745673,0.270251334,0.588673413,0.207157865,2024,0.87205356,"17 R",576296,2822838,"100","100","98.5","98.5","0","0",1.5
"531","WQ_BB37_73",0.077719234,0.096209235,0.024415083,0.003865012,-0.905251026,-0.922757089,0.922757089,-1.089993,0.325337917,0.621856332,0.189148203,2024,0.7212915,"17 R",576299,2822827,"100","100","95","95","0","0",5
"532","WQ_BB37_74",0.075862311,0.093353733,0.024297027,0.003865961,-0.903021574,-0.920469582,0.920469582,-1.088186979,0.338218004,0.601820767,0.162322372,2024,0.6823299,"17 R",576308,2822819,"100","100","98","98","0","0",2
"533","WQ_BB37_75",0.0750672,0.095043369,0.026208784,0.003167089,-0.919035792,-0.935504019,0.935504019,-1.17656219,0.305616528,0.52647984,0.128637001,2024,0.6976668,"17 R",576313,2822811,"100","100","97.75","97.75","0","0",2.25
"534","WQ_BB37_76",0.074935913,0.094135202,0.026090199,0.003400869,-0.913173139,-0.930264354,0.930264354,-1.154044151,0.315676719,0.528609514,0.122126654,2024,0.72614396,"17 R",576325,2822821,"100","100","100","100","0","0",0
"535","WQ_BB37_77",0.076395333,0.094783366,0.025253249,0.003749924,-0.90642184,-0.923885107,0.923885107,-1.112119317,0.326524198,0.575795054,0.151211143,2024,0.7316593,"17 R",576318,2822828,"100","100","100","100","0","0",0
"536","WQ_BB37_78",0.079447098,0.099454753,0.023938434,0.003865769,-0.907198787,-0.925169408,0.925169408,-1.082893729,0.306514323,0.66071403,0.235763416,2024,0.7897895,"17 R",576307,2822830,"100","100","100","100","0","0",0
"537","WQ_BB37_79",0.0750672,0.095043369,0.026208784,0.003167089,-0.919035792,-0.935504019,0.935504019,-1.17656219,0.305616528,0.52647984,0.128637001,2024,0.70939445,"17 R",576310,2822814,"98.5","98.5","98.5","98.5","0","0",0
"538","WQ_BB37_8",0.094996855,0.119159795,0.034710538,0.004471566,-0.910090744,-0.927662909,0.927662909,-1.157631993,0.262907296,0.521556616,0.163281977,2024,0.78491586,"17 R",576599,2822777,"100","100","100","100","0","0",0
"539","WQ_BB37_80",0.093825437,0.118393943,0.040320519,0.004128725,-0.915700853,-0.93260473,0.93260473,-1.221341133,0.258431137,0.380963355,0.054722715,2024,0.8034235,"17 R",576610,2822500,"100","100","100","100","0","0",0
"540","WQ_BB37_81",0.094879501,0.120974645,0.03984281,0.00610935,-0.879009426,-0.903853357,0.903853357,-1.101149321,0.243077248,0.402332664,0.084409483,2024,0.745608,"17 R",576608,2822509,"100","100","100","100","0","0",0
"541","WQ_BB37_82",0.0987041,0.122908868,0.042461731,0.003893676,-0.924098253,-0.938586771,0.938586771,-1.248011589,0.263083667,0.38738212,0.056881871,2024,0.6774621,"17 R",576598,2822516,"100","100","100","100","0","0",0
"542","WQ_BB37_83",0.0987041,0.122908868,0.042461731,0.003893676,-0.924098253,-0.938586771,0.938586771,-1.248011589,0.263083667,0.38738212,0.056881871,2024,0.70074695,"17 R",576592,2822514,"100","100","100","100","0","0",0
"543","WQ_BB37_84",0.095405661,0.120457359,0.041509315,0.005992054,-0.881810904,-0.905226052,0.905226052,-1.121565461,0.253878742,0.37280342,0.052196249,2024,0.69958144,"17 R",576592,2822504,"100","100","100","100","0","0",0
"544","WQ_BB37_85",0.089460187,0.110507868,0.037697766,0.00401083,-0.914180279,-0.929953277,0.929953277,-1.211510539,0.295581907,0.39086926,0.031634279,2024,0.69303066,"17 R",576595,2822490,"98.5","98.5","98.5","98.5","0","0",0
"545","WQ_BB37_86",0.075678103,0.09872134,0.031619057,0.004711207,-0.882790208,-0.908902824,0.908902824,-1.110968351,0.267016739,0.374016106,0.03869712,2024,0.8684206,"17 R",576605,2822480,"100","100","100","100","0","0",0
"546","WQ_BB37_87",0.091050945,0.111156814,0.035435375,0.004711767,-0.901594937,-0.918670475,0.918670475,-1.147912621,0.306004822,0.461448848,0.079672225,2024,0.9091264,"17 R",576613,2822485,"100","100","100","100","0","0",0
"547","WQ_BB37_88",0.092898741,0.115938686,0.038532592,0.004710823,-0.903476179,-0.921908975,0.921908975,-1.173187971,0.274283707,0.409844667,0.064680122,2024,0.6877498,"17 R",576605,2822491,"100","100","100","100","0","0",0
"548","WQ_BB37_89",0.091046482,0.114645392,0.038769875,0.005759133,-0.881016552,-0.904336929,0.904336929,-1.11199677,0.267942816,0.384452075,0.049278222,2024,0.63530827,"17 R",576598,2822495,"100","100","100","100","0","0",0
"549","WQ_BB37_9",0.091559842,0.116446428,0.033159439,0.004237658,-0.911528826,-0.929772735,0.929772735,-1.160054445,0.254390955,0.523820758,0.171406642,2024,0.6901226,"17 R",576585,2822776,"100","100","100","100","0","0",0
"550","WQ_BB37_90",0.093951613,0.117357694,0.039364558,0.004825888,-0.902287722,-0.921005964,0.921005964,-1.172380209,0.270589083,0.402837366,0.062285747,2024,0.9316597,"17 R",576586,2822495,"100","99","99","99","0","0",0
"551","WQ_BB37_91",0.093951613,0.117357694,0.039364558,0.004825888,-0.902287722,-0.921005964,0.921005964,-1.172380209,0.270589083,0.402837366,0.062285747,2024,0.92675,"17 R",576582,2822496,"100","100","100","100","0","0",0
"552","WQ_BB37_92",0.094873622,0.120713502,0.040911846,0.00307627,-0.937186837,-0.950298488,0.950298488,-1.290197611,0.245673567,0.379616082,0.064202018,2024,0.74265057,"17 R",576572,2822505,"100","100","100","100","0","0",0
"553","WQ_BB37_93",0.083891585,0.106102541,0.034952112,0.003308118,-0.924125493,-0.939528406,0.939528406,-1.240609169,0.281355679,0.391304016,0.042495459,2024,0.6884777,"17 R",576558,2822495,"100","100","100","100","0","0",0
"554","WQ_BB37_94",0.082171753,0.107528426,0.03292672,0.004591629,-0.894157469,-0.918094397,0.918094397,-1.132849336,0.244220808,0.421665609,0.096530825,2024,0.78168416,"17 R",576563,2822480,"100","100","100","100","0","0",0
"555","WQ_BB37_95",0.086677872,0.108694464,0.034477822,0.004242664,-0.906673133,-0.924866796,0.924866796,-1.171285272,0.284340233,0.435667217,0.07594239,2024,0.7686578,"17 R",576579,2822471,"100","100","100","100","0","0",0
"556","WQ_BB37_97",0.075678103,0.09872134,0.031619057,0.004711207,-0.882790208,-0.908902824,0.908902824,-1.110968351,0.267016739,0.374016106,0.03869712,2024,0.7405596,"17 R",576601,2822477,"100","100","100","100","0","0",0
"557","WQ_BB37_99",0.084693633,0.105976909,0.03304806,0.003777111,-0.914613307,-0.931171358,0.931171358,-1.192293763,0.292328179,0.448747158,0.07948973,2024,0.7528672,"17 R",576589,2822478,"100","100","100","100","0","0",0
"558","WQ_BB38_1",0.051557269,0.056465514,0.016743556,0.005305852,-0.813381612,-0.828209996,0.828209996,-0.77809602,0.57045275,0.53417331,-0.086665995,2024,0.61415774,"17 R",581185,2828509,"21.5","21.5","11.85","11.85","0","0",9.65
"559","WQ_BB38_10",0.050888591,0.05972391,0.018529419,0.004375485,-0.841651738,-0.863478124,0.863478124,-0.92691505,0.488385707,0.434405744,-0.099638529,2024,0.62188596,"17 R",581171,2828527,"17","17","14.25","14.25","0","0",2.75
"560","WQ_BB38_100",0.050060622,0.05553453,0.01625747,0.00297633,-0.887763917,-0.898263991,0.898263991,-1.035765648,0.561445057,0.529922009,-0.083211303,2024,0.7185546,"17 R",580969,2828434,"39.2","39.2","35.25","34.75","0","0.5",3.95
"561","WQ_BB38_11",0.051422037,0.057507746,0.01721937,0.004608086,-0.835514009,-0.851629257,0.851629257,-0.866657436,0.545328021,0.507571399,-0.087475121,2024,0.6200717,"17 R",581178,2828517,"42.55","40.55","21.5","21.5","0","0",19.05
