StationID,Latitude,Longitude
BH06,25.89908333,80.13266667
BH10,25.87021667,80.1473
BH14,25.81855,80.16168333
BH22,25.75988333,80.17733333
BH29,25.71326667,80.2106
BH31,25.62568333,80.2211
BH34,25.65203333,80.26005
BH35,25.63606667,80.17338333
BH36,25.59996667,80.23626667
BH37,25.56876667,80.19453333
BH39,25.53103333,80.30475
